City,Latitude,Longitude,Max Temperature (°F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country Code,Date & Time
ornskoldsvik,63.2909,18.7153,10.4,92,0,8.05,SE,1612824056
longyearbyen,78.2186,15.6401,14.0,52,0,10.36,SJ,1612824065
labuhan,-6.8844,112.2051,77.81,86,92,7.4,ID,1612824071
iqaluit,63.7506,-68.5145,21.2,86,75,4.5,CA,1612824072
hobart,-42.8794,147.3294,57.99,54,75,11.5,AU,1612823997
albany,42.6001,-73.9662,21.99,51,72,0.69,US,1612824074
goksun,38.021,36.4973,55.4,67,75,4.61,TR,1612824075
carnarvon,-24.8667,113.6333,73.4,100,0,12.66,AU,1612824076
busselton,-33.65,115.3333,55.0,92,94,1.99,AU,1612823996
berlevag,70.8578,29.0864,24.8,74,40,21.85,NO,1612824079
tiksi,71.6872,128.8694,-27.31,86,100,4.34,RU,1612824080
bhadrachalam,17.6667,80.8833,61.68,91,25,1.07,IN,1612824081
bonavista,48.6499,-53.1147,30.99,100,100,10.36,CA,1612824082
kayerkan,69.3497,87.7602,1.78,91,99,5.48,RU,1612824083
morondava,-20.2833,44.2833,79.2,85,100,14.63,MG,1612824086
santa cecilia,-26.9608,-50.4269,61.95,74,2,4.74,BR,1612824020
jamestown,42.097,-79.2353,21.99,63,90,8.05,US,1612824088
panzhihua,26.5851,101.7128,43.0,71,100,1.54,CN,1612824089
lorengau,-2.0226,147.2712,84.92,71,25,6.69,PG,1612824031
te anau,-45.4167,167.7167,55.24,92,100,6.02,NZ,1612824091
cidreira,-30.1811,-50.2056,73.26,75,12,13.47,BR,1612824093
bluff,-46.6,168.3333,55.67,94,100,12.46,NZ,1612824011
saint-pierre,-21.3393,55.4781,77.0,73,0,3.44,RE,1612824017
bredasdorp,-34.5322,20.0403,62.6,88,5,2.3,ZA,1612824045
rikitea,-23.1203,-134.9692,77.77,69,19,4.38,PF,1612824005
muborak,39.2553,65.1528,45.21,78,1,4.45,UZ,1612824099
yellowknife,62.456,-114.3525,-27.4,68,90,19.57,CA,1612824100
tura,25.5198,90.2201,56.73,49,0,2.73,IN,1612824010
norman wells,65.282,-126.8329,-27.4,75,1,6.91,CA,1612824104
hermanus,-34.4187,19.2345,64.99,89,7,4.63,ZA,1612824105
sambava,-14.2667,50.1667,75.88,90,95,4.88,MG,1612824106
alice springs,-23.7,133.8833,86.0,30,74,6.91,AU,1612824107
mar del plata,-38.0023,-57.5575,64.99,59,40,14.97,AR,1612824108
saint anthony,45.0205,-93.218,1.4,50,1,8.05,US,1612823939
nordhausen,51.5167,10.8,14.0,92,99,4.29,DE,1612824112
atuona,-9.8,-139.0333,79.7,76,83,19.8,PF,1612824024
ahipara,-35.1667,173.1667,73.13,65,100,11.48,NZ,1612824114
latur,18.4,76.5833,58.08,34,7,5.57,IN,1612824116
port-cartier,50.0334,-66.8654,21.2,63,40,13.8,CA,1612824117
arraial do cabo,-22.9661,-42.0278,73.4,94,75,5.35,BR,1612823913
